Leitor — texto no cartao
O app.bin e pequeno; este arquivo fica em data/.
00015 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00016 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00017 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00018 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00019 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00020 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00021 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00022 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00023 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00024 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00025 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00026 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00027 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00028 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00029 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00030 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00031 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00032 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00033 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00034 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00035 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00036 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00037 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00038 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00039 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00040 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00041 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00042 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00043 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00044 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00045 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00046 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00047 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00048 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00049 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00050 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00051 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00052 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00053 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00054 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00055 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00056 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00057 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00058 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00059 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00060 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00061 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00062 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00063 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00064 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00065 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00066 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00067 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00068 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00069 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00070 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00071 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00072 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00073 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00074 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00075 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00076 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00077 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00078 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00079 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00080 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00081 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00082 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00083 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00084 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00085 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00086 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00087 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00088 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00089 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00090 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00091 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00092 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00093 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00094 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00095 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00096 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00097 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00098 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00099 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00100 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00101 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00102 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00103 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00104 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00105 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00106 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00107 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00108 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00109 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00110 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00111 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00112 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00113 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00114 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00115 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00116 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00117 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00118 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00119 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00120 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00121 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00122 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00123 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00124 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00125 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00126 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00127 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00128 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00129 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00130 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00131 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00132 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00133 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00134 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00135 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00136 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00137 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00138 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00139 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00140 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00141 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00142 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00143 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00144 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00145 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00146 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00147 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00148 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00149 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00150 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00151 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00152 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00153 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
00154 O pacote deste app e maior que o slot da flash. A tela le uma pagina por vez, em linhas curtas, sem carregar o arquivo na SRAM. O codigo nativo continua no teto de 1,94 MB; este texto mora no microSD.
